    0.302488335811366582E+01    0.427455921417385643E+01    0.539984805076458141E+01    0.272891857430477014E+01    0.817146322176526496E+01    0.302962018084735885E+01    0.150377578791808268E+02    0.149377917531833582E+02    0.148908804559349264E+02   -0.431060633490480694E+01
    0.405336967435326923E+01    0.322352562181788116E+01    0.364873147111872997E+01    0.269598971447520519E+01    0.583145130143027934E+01    0.240100782286146064E+01    0.149797457670622993E+02    0.148628747391719234E+02    0.148726088754294441E+02   -0.430308627757016726E+01
    0.410834200621728751E+01    0.773022665149288102E+01    0.577978202900874738E+01    0.576792070911853649E+01    0.677525319194318953E+01    0.287857511678784617E+01    0.149201840838228357E+02    0.147845097168875892E+02    0.148221245637586208E+02   -0.430281823505660554E+01
    0.462177782730012954E+01    0.489456055898660392E+01    0.381940119476149986E+01    0.360503942920533671E+01    0.648349374550308521E+01    0.242839814339589921E+01    0.149106321844918259E+02    0.147907077077841951E+02    0.148233339379243194E+02   -0.428921252955903487E+01
    0.377488292309582985E+01    0.399693368146142669E+01    0.518256559695121943E+01    0.700166070164373711E+01    0.814580583679785164E+01    0.276253952656055635E+01    0.149514865982657277E+02    0.148638178075465976E+02    0.148697601902169136E+02   -0.428655104993850866E+01
    0.359089624211884528E+01    0.114064320870841884E+01    0.238085516380499396E+01    0.513828853855705781E+01    0.681331342928394790E+01    0.227522258473992078E+01    0.151264483713197428E+02    0.149287339838901527E+02    0.149254117175638701E+02   -0.427433396722381431E+01
    0.517409218947259042E+01    0.454488771211949949E+01    0.660613232271107620E+01    0.379854131725561528E+01    0.474389249831519244E+01    0.277456638048965587E+01    0.148361361097490736E+02    0.148055468633845155E+02    0.147774283996950793E+02   -0.425335069886039108E+01
    0.518389358677213341E+01    0.447656321779335897E+01    0.228782653652793933E+01    0.547572457081016495E+01    0.681550643449422910E+01    0.270821122302163619E+01    0.148284689701800705E+02    0.147885373899507897E+02    0.147787188448154421E+02   -0.424193410927876435E+01
    0.527374727251694342E+01    0.901452888424801868E+00    0.794763652918575936E+01    0.380465636290481557E+01    0.685146354997334939E+01    0.233569486507235924E+01    0.148579222922604952E+02    0.147854331771086596E+02    0.147958666404183301E+02   -0.423824461594202084E+01
    0.396210285815621477E+01    0.757889977916009538E+01    0.164305744991701874E+01    0.636973789907883781E+01    0.766485534296386284E+01    0.244633546098069843E+01    0.149711131525593828E+02    0.148428426466687995E+02    0.148839095298670685E+02   -0.421107132848031274E+01
    0.302905183947573287E+01    0.192988677516232254E+01    0.750583626603526710E+01    0.542418424006186939E+01    0.800122703074072561E+01    0.293489053361421881E+01    0.153866353828107183E+02    0.149472623348231597E+02    0.149420733566749231E+02   -0.420382756293081705E+01
    0.394429587371327361E+01    0.430420573110795779E+01    0.117795663977145981E+01    0.727448315283710301E+01    0.731755473591760452E+01    0.240031083772452947E+01    0.149963734791381160E+02    0.149041326389344917E+02    0.148683409525209118E+02   -0.419103891323814715E+01
    0.493663216721056042E+01    0.249709844532977376E+01    0.480166414371631411E+01    0.289500460436011942E+01    0.320690258928003225E+01    0.225737970408834565E+01    0.148869457505843439E+02    0.147977415355716051E+02    0.148229030546577007E+02   -0.418615049979617204E+01
    0.334124935860142713E+01    0.409885077584725543E+01    0.794590414769568110E+01    0.350663681675669370E+01    0.390095752897604964E+01    0.256791787411424144E+01    0.150673323824352643E+02    0.148852299585991794E+02    0.149523803285700865E+02   -0.418562128631274266E+01
    0.473390856628494205E+01    0.419535921823966351E+01    0.412682747231090818E+01    0.201637474379861237E+01    0.381041118448213290E+01    0.256649609324147487E+01    0.148880714630704087E+02    0.148466966173557360E+02    0.148177470495988253E+02   -0.416032269845667901E+01
    0.452748074357749086E+01    0.352799982331655615E+01    0.245168745401903454E+01    0.469494234167615421E+01    0.504363885546523161E+01    0.280541189028254223E+01    0.148767892157977304E+02    0.148323019466635770E+02    0.148114707383096142E+02   -0.413059792731037589E+01
    0.461607026080216087E+01    0.307684791442085004E+01    0.394043367025152680E+01    0.440034681488013479E+01    0.490702716634791170E+01    0.279328755594045930E+01    0.148838405794854935E+02    0.148243943651865422E+02    0.147841585486097298E+02   -0.412946750583270283E+01
    0.482018990508154044E+01    0.593150225695324984E+01    0.394261221652952809E+01    0.516834845951545407E+01    0.821470145968323884E+01    0.244834777291714456E+01    0.148937214854377800E+02    0.147904165628794058E+02    0.148236715291883296E+02   -0.412596255764557185E+01
    0.409780593159835771E+01    0.276693136879345325E+00    0.780397108494542913E+00    0.711480688881081669E+01    0.715754369440729477E+01    0.256990473600957081E+01    0.149396847508858546E+02    0.148522452810386199E+02    0.148407710087864171E+02   -0.407396013910677990E+01
    0.532058762160070042E+01    0.420502196096291581E+01    0.272279749842178109E+01    0.380083878453156743E+01    0.454706793895352313E+01    0.242956561824210970E+01    0.148388813666145793E+02    0.148091511527010358E+02    0.147940219188015885E+02   -0.405940421570359078E+01
    0.454885672046261735E+01    0.178847888291946910E+01    0.488130395280970486E+01    0.432830071820145701E+01    0.605143000689696908E+01    0.272581884418858378E+01    0.148678379147669570E+02    0.148227476523999862E+02    0.148054335206096592E+02   -0.405379679843509866E+01
    0.387677213417072064E+01    0.420674961088047361E+01    0.760969340844162545E+01    0.561747771080441893E+01    0.712560525570895820E+01    0.248154342356934166E+01    0.149762660564019896E+02    0.148645554505280550E+02    0.148895354913053595E+02   -0.402488226892827949E+01
    0.480872669729090951E+01    0.739636701631115745E+01    0.428979785669286162E+01    0.303702183179674368E+01    0.652180655152931177E+01    0.276652808635564229E+01    0.148569652043196747E+02    0.147837331653137642E+02    0.147855532513313701E+02   -0.400269519421717401E+01
    0.535276710443725001E+01    0.451883503351834470E+00    0.656766797869407526E+01    0.478473254920719171E+01    0.576494729643459891E+01    0.237666920006393578E+01    0.148407446961319653E+02    0.148106999193696431E+02    0.147924606749700018E+02   -0.399047970722653611E+01
    0.293151283264160156E+01    0.128360128402709961E+01    0.573616015911102295E+01    0.779223126291900758E+01    0.805650482680501234E+01    0.243322934865951535E+01    0.153799438254085334E+02    0.150164655536804954E+02    0.150871725330161031E+02   -0.396678499941452323E+01
    0.508366473253790563E+01    0.123772409839614417E+01    0.327515994818499223E+01    0.315047559036260294E+01    0.415810190186912987E+01    0.258414567439931320E+01    0.148461610587118251E+02    0.148165775030319899E+02    0.147871244121867580E+02   -0.396315092292402360E+01
    0.352643682856577456E+01    0.582352626051047206E+01    0.125834972955696944E+01    0.775145051166282872E+01    0.791084958215463629E+01    0.243334609212105191E+01    0.150947305797890632E+02    0.149496428470536387E+02    0.149586750859536046E+02   -0.395825265136494275E+01
    0.391214587493053179E+01    0.553300907639298778E+01    0.465028424460473833E+01    0.465823201208102766E+01    0.806015553426005660E+01    0.241415339606671697E+01    0.150196244016223535E+02    0.148483403910681915E+02    0.148731935832348832E+02   -0.394885358037126410E+01
    0.372795879719119583E+01    0.785869696065838408E+01    0.639311712299100332E+01    0.520808019474371697E+01    0.549918750871678252E+01    0.241783574371508214E+01    0.150182122554693809E+02    0.149437020029660985E+02    0.149092490382236402E+02   -0.393955195294235994E+01
    0.373717663310219139E+01    0.275472368517938992E+01    0.352175131048604673E+01    0.261875800957499338E+01    0.571246475109179030E+01    0.244429028753695565E+01    0.151389618251695932E+02    0.148929831440372329E+02    0.149461385127703945E+02   -0.391094068183425847E+01
    0.411415628335658035E+01    0.945258953275141672E-01    0.591779423879597921E+01    0.349570623038287742E+01    0.572965713196925819E+01    0.303452783890766131E+01    0.149437988044181704E+02    0.148445169193495428E+02    0.148125325987386294E+02   -0.390273756648568648E+01
